,CATEGORY,TIME,MODALITY,SECTOR,SUBSECTOR
0,"Fires",11:45,,2,1
1,Car Run Over People,21:34,Driver Recklessness,4,2
2,Car Crash,08:29,Driver Recklessness,4,4
3,"Fires",12:26,,3,2
4,Car Run Over People,04:53,Driver Recklessness,2,5
5,Car Crash,06:40,Speeding,1,2
6,Car Crash,18:16,Driver Recklessness,4,1
7,Car Run Over People,19:56,Driver Recklessness,3,2
8,Car Crash,03:38,Driver Recklessness,1,5
9,Car Crash,16:49,Driver Recklessness,3,2
10,"Fires",17:45,,4,3
11,Car Cluelessness,15:15,Driver Recklessness,4,2
12,People Falls,06:51,,1,1
13,Car Cluelessness,12:26,Driver Recklessness,2,1
14,Car Crash,17:41,Driver Recklessness,1,5
16,Car Crash,16:34,Driver Recklessness,4,2
17,Car Cluelessness,20:05,Driver Recklessness,1,5
18,Car Crash,14:33,Speeding,3,2

23,Car Crash,19:21,Driver Recklessness,5,3
24,Car Cluelessness,20:31,Speeding,1,4
25,Car Run Over People,21:11,Driver Recklessness,1,5
26,"Fires",21:08,,4,2
27,People Falls,12:41,,4,2
28,Car Crash,20:03,Driver Recklessness,1,1
29,"Fires",21:55,,3,3
30,"Fires",15:55,,2,7
31,Car Run Over People,16:15,Driver Recklessness,3,1
32,Car Crash,15:39,Speeding,4,3
33,Car Crash,16:30,Driver Recklessness,1,3
34,Car Crash,17:56,Speeding,4,2
35,Car Crash,18:17,Speeding,5,3
36,Car Crash,19:06,Speeding,4,1
37,Car Crash,19:17,Speeding,5,1
38,Car Crash,18:46,Driver Recklessness,1,1
39,Car Crash,18:51,Driver Recklessness,1,1
40,Car Crash,05:02,Driver Recklessness,5,4
41,Car Crash,13:14,Driver Recklessness,3,3
42,Car Crash,15:45,Driver Recklessness,3,3
43,Car Crash,17:28,Driver Recklessness,2,6
44,Car Crash,17:22,Speeding,4,1
45,People Falls,19:47,,4,3
46,"Fires",11:08,,2,7
47,Car Crash,11:11,Speeding,3,3
48,Gas leak,10:34,,3,3
49,Car Crash,10:07,Speeding,1,5
50,People Falls,07:23,,2,4
51,People Falls,09:53,,3,1
52,Car Crash,11:40,Driver Recklessness,4,1
53,Car Cluelessness,13:48,Driver Recklessness,5,4
54,People Falls,06:58,,4,2
55,Car Run Over People,07:43,Driver Recklessness,5,3
56,Car Crash,08:12,Driver Recklessness,1,1
57,Car Crash,09:54,Driver Recklessness,3,3
58,Car Crash,09:27,Driver Recklessness,3,1
80,Car Rollover,01:52,Speeding,5,1
81,Car Crash,06:38,Speeding,1,3
82,Car Crash,18:05,Speeding,5,3
83,"Fires",18:20,,4,3
84,Car Crash,21:11,Driver Recklessness,2,3
85,Car Run Over People,08:07,Driver Recklessness,3,1
86,Car Cluelessness,16:11,Driver Recklessness,4,3
87,Car Crash,10:17,Driver Recklessness,2,5
88,Car Crash,15:59,Speeding,1,3
89,"Fires",06:06,,5,1
90,Car Run Over People,10:39,Contempt traffic signal,3,3
91,Car Crash,17:45,Driver Recklessness,5,1
92,Car Cluelessness,18:15,Driver Recklessness,5,2
93,Car Crash,20:12,Speeding,1,1
94,Car Crash,11:49,Speeding,1,2
95,Car Crash,10:02,Driver Recklessness,1,5
96,Car Run Over People,18:28,Driver Recklessness,4,2
97,Car Crash,08:35,Driver Recklessness,1,2
98,Car Crash,14:31,Driver Recklessness,3,2
99,Car Crash,16:00,Driver Recklessness,1,6
100,Car Crash,19:31,Speeding,3,3
101,Car Crash,19:16,Speeding,1,5
102,Car Crash,19:40,Speeding,1,2
103,"Flood",23:33,,1,5
104,Car Crash,10:28,Driver Recklessness,3,1
105,Car Crash,10:48,Speeding,1,5
106,Car Crash,10:32,Speeding,1,2
107,Car Cluelessness,14:33,Speeding,5,2
108,Car Crash,19:47,Ebriedad del conductor,3,3
109,"Flood",01:32,,3,3
110,Car Crash,10:29,Speeding,3,2
